timestamp,best_bid
1776251619000,74088.70000000
1776251620000,74083.67000000
1776251621000,74081.35000000
1776251622000,74081.35000000
1776251623000,74079.70000000
1776251624000,74075.08000000
1776251625000,74072.10000000
1776251626000,74071.31000000
1776251627000,74071.31000000
1776251628000,74071.30000000
1776251629000,74071.30000000
1776251630000,74071.30000000
1776251631000,74071.30000000
1776251632000,74064.63000000
1776251633000,74064.63000000
1776251634000,74064.63000000
1776251635000,74057.90000000
1776251636000,74057.90000000
1776251637000,74057.90000000
1776251638000,74057.90000000
1776251639000,74057.50000000
1776251640000,74054.92000000
1776251641000,74054.92000000
1776251642000,74054.92000000
