timestamp,best_bid
1775833083000,72866.24000000
1775833084000,72866.24000000
1775833085000,72871.99000000
1775833086000,72872.80000000
1775833087000,72872.80000000
1775833088000,72872.80000000
1775833089000,72872.80000000
1775833090000,72861.09000000
1775833091000,72861.09000000
1775833092000,72861.09000000
1775833093000,72861.09000000
1775833094000,72861.09000000
1775833095000,72861.09000000
1775833096000,72861.09000000
1775833097000,72854.57000000
1775833098000,72854.57000000
1775833099000,72854.57000000
1775833100000,72854.57000000
1775833101000,72854.57000000
1775833102000,72846.75000000
1775833103000,72846.75000000
1775833104000,72846.75000000
1775833105000,72853.26000000
1775833106000,72853.26000000
