timestamp,best_bid
1776251091000,83.21000000
1776251092000,83.21000000
1776251093000,83.21000000
1776251094000,83.21000000
1776251095000,83.21000000
1776251096000,83.21000000
1776251097000,83.21000000
1776251098000,83.21000000
1776251099000,83.21000000
1776251100000,83.21000000
1776251101000,83.21000000
1776251102000,83.21000000
1776251103000,83.21000000
1776251104000,83.21000000
1776251105000,83.21000000
1776251106000,83.21000000
1776251107000,83.21000000
1776251108000,83.21000000
1776251109000,83.21000000
1776251110000,83.21000000
1776251111000,83.21000000
1776251112000,83.23000000
1776251113000,83.23000000
1776251114000,83.22000000
