timestamp,binance
1775046009000,68645.5
1775046010000,68645.5
1775046011000,68645.5
1775046012000,68645.5
1775046014000,68645.5
1775046015000,68645.49
1775046016000,68645.5
1775046017000,68645.5
1775046018000,68645.5
1775046019000,68645.49
1775046020000,68645.49
1775046021000,68645.49
1775046022000,68645.49
1775046023000,68645.5
1775046024000,68645.5
1775046025000,68645.5
1775046026000,68645.49
1775046027000,68651.36
1775046028000,68651.36
1775046029000,68651.36
1775046030000,68651.35
1775046031000,68651.36
1775046033000,68651.35
1775046034000,68645.6
1775046035000,68644.54
1775046036000,68641.29
1775046037000,68641.05
1775046038000,68641.05
1775046039000,68639.1
1775046040000,68636.04
1775046041000,68631.83
1775046042000,68631.82
1775046045000,68631.83
1775046047000,68631.83
1775046048000,68631.82
1775046050000,68631.83
1775046051000,68631.82
1775046052000,68631.83
1775046053000,68631.83
1775046057000,68631.83
1775046058000,68631.83
1775046059000,68631.83
1775046060000,68631.83
1775046061000,68631.83
1775046062000,68639.47
1775046063000,68639.46
1775046064000,68639.47
1775046065000,68639.47
1775046066000,68639.46
1775046067000,68639.46
1775046069000,68639.47
1775046070000,68639.47
1775046071000,68639.46
1775046072000,68633.95
1775046073000,68633.95
1775046074000,68633.51
1775046075000,68633.51
1775046076000,68633.51
1775046077000,68633.51
1775046078000,68633.5
1775046079000,68633.51
1775046080000,68633.5
1775046081000,68633.51
1775046083000,68633.5
1775046084000,68622.0
1775046085000,68621.31
1775046088000,68621.32
1775046090000,68621.31
1775046091000,68621.32
1775046092000,68621.32
1775046093000,68621.31
1775046094000,68621.32
1775046095000,68604.51
1775046096000,68604.51
1775046097000,68604.51
1775046098000,68604.54
1775046099000,68604.55
1775046101000,68604.55
1775046102000,68604.55
1775046103000,68604.54
1775046104000,68604.55
1775046105000,68604.55
1775046106000,68604.55
1775046107000,68604.54
1775046108000,68604.54
1775046109000,68604.55
1775046110000,68604.55
1775046111000,68604.55
1775046112000,68604.54
1775046113000,68604.54
1775046114000,68604.54
1775046117000,68604.55
1775046118000,68604.55
1775046119000,68604.55
1775046120000,68604.54
1775046121000,68604.55
1775046122000,68604.54
1775046124000,68604.55
1775046125000,68604.55
1775046126000,68604.55
1775046127000,68598.74
1775046128000,68591.73
1775046129000,68591.72
1775046130000,68575.1
1775046131000,68575.09
1775046132000,68575.1
1775046133000,68574.14
1775046134000,68560.43
1775046135000,68560.44
1775046136000,68560.43
1775046137000,68558.0
1775046138000,68551.59
1775046139000,68541.25
1775046140000,68541.25
1775046141000,68541.25
1775046143000,68541.25
1775046144000,68541.25
1775046145000,68535.06
1775046146000,68535.05
1775046147000,68535.05
1775046148000,68535.05
1775046149000,68535.06
1775046150000,68535.06
1775046151000,68535.46
1775046152000,68535.46
1775046153000,68535.45
1775046154000,68535.46
1775046156000,68535.46
1775046157000,68535.45
1775046158000,68535.46
1775046159000,68546.27
1775046160000,68546.27
1775046161000,68546.26
1775046163000,68546.26
1775046164000,68555.5
1775046165000,68555.51
1775046166000,68555.51
1775046167000,68555.51
1775046168000,68558.0
1775046169000,68560.36
1775046171000,68560.36
1775046172000,68560.36
1775046173000,68560.36
1775046174000,68560.36
1775046175000,68560.36
1775046176000,68566.69
1775046177000,68566.69
1775046178000,68566.69
1775046179000,68566.69
1775046180000,68566.69
1775046181000,68566.69
1775046182000,68566.69
1775046183000,68568.43
1775046184000,68570.11
1775046185000,68571.01
1775046186000,68571.01
1775046187000,68571.01
1775046189000,68572.0
1775046190000,68575.63
1775046191000,68575.64
1775046192000,68580.0
1775046193000,68579.99
1775046194000,68579.99
1775046195000,68580.0
1775046196000,68579.99
1775046197000,68579.99
1775046198000,68580.0
1775046199000,68580.0
1775046200000,68577.06
1775046201000,68577.06
1775046202000,68577.05
1775046203000,68577.06
1775046204000,68577.05
1775046205000,68577.05
1775046206000,68577.06
1775046207000,68577.06
1775046208000,68577.05
1775046209000,68577.05
1775046210000,68577.06
1775046211000,68577.05
1775046212000,68577.05
1775046213000,68583.99
1775046215000,68580.91
1775046216000,68580.9
1775046217000,68580.6
1775046218000,68577.95
1775046221000,68577.95
1775046222000,68577.95
1775046224000,68577.94
1775046225000,68577.95
1775046226000,68577.94
1775046227000,68577.95
1775046228000,68577.95
1775046229000,68577.95
1775046230000,68577.95
1775046231000,68577.06
1775046232000,68577.07
1775046233000,68577.43
1775046234000,68577.43
1775046235000,68577.42
1775046236000,68577.43
1775046238000,68577.43
1775046239000,68577.43
1775046240000,68577.43
1775046241000,68589.37
1775046242000,68590.78
1775046244000,68586.68
1775046245000,68586.68
1775046246000,68586.68
1775046249000,68586.68
1775046250000,68586.68
1775046251000,68586.67
1775046252000,68586.67
1775046253000,68586.68
1775046254000,68586.67
1775046255000,68586.68
1775046256000,68586.68
1775046257000,68586.68
1775046258000,68586.68
1775046259000,68586.67
1775046260000,68586.67
1775046261000,68586.68
1775046262000,68580.63
1775046263000,68579.38
1775046264000,68579.38
