timestamp,polymarket,source_timestamp
1775833084000,72866.24,1775833083000
1775833085000,72866.25,1775833084000
1775833086000,72871.99,1775833085000
1775833087000,72872.8,1775833086000
1775833088000,72872.8,1775833087000
1775833089000,72872.81,1775833088000
1775833090000,72872.8,1775833089000
1775833091000,72861.1,1775833090000
1775833092000,72861.09,1775833091000
1775833093000,72861.1,1775833092000
1775833094000,72861.09,1775833093000
1775833095000,72861.09,1775833094000
1775833096000,72861.09,1775833095000
1775833097000,72861.1,1775833096000
1775833098000,72854.58,1775833097000
1775833099000,72854.58,1775833098000
1775833100000,72854.57,1775833099000
1775833101000,72854.57,1775833100000
1775833102000,72854.57,1775833101000
1775833103000,72846.76,1775833102000
1775833104000,72846.76,1775833103000
1775833105000,72846.75,1775833104000
1775833106000,72853.26,1775833105000
